review_id,model_alias,model_id,ground,verdict,face,confidence,tokens_in,tokens_out,cache_read,cost_usd,duration_ms,error,raw_content
66bcd2eb4bc74a4188b18175afd9445b,haiku,claude-haiku-4-5,match,match,obverse,0.920,3,19,9477,0.003728,2588,,"{""verdict"":""match"",""face"":""obverse"",""confidence"":0.92}"
0925b758a02e423386f7679633ea50c3,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,9467,0.003730,3634,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
f2bd92891c814789908126f9df23c9cc,haiku,claude-haiku-4-5,match,match,obverse,0.970,3,19,9467,0.003720,2229,,"{""verdict"":""match"",""face"":""obverse"",""confidence"":0.97}"
3d56e5a671e04aefa08187a2d1fd4a11,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.850,3,20,0,0.036453,3001,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.85}"
60a33cadcff8405781c5c6605bd755e0,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.950,3,21,0,0.036474,5455,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.95}"
0786fdc952c147198328d8f7f2c5fa0b,haiku,claude-haiku-4-5,match,match,obverse,0.970,3,19,0,0.036482,2860,,"{""verdict"":""match"",""face"":""obverse"",""confidence"":0.97}"
584e4f59c6fb43fc8c8e955603226771,haiku,claude-haiku-4-5,match,match,obverse,0.970,3,19,0,0.036482,2760,,"{""verdict"":""match"",""face"":""obverse"",""confidence"":0.97}"
1a26712bb14145ccab4799d80f07628b,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.036501,2744,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
d6eadf8ba30449fcb398b84856c5e78b,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.970,3,21,0,0.036516,2747,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.97}"
6710ea29b4e44ea8bc4a9fbf34a86ee8,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.036482,3135,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
5092874bbcc14d02a9409a31599a1a53,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.970,3,21,0,0.036512,2590,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.97}"
77ea84d6d5924fbb8b1d8ca59c6f5825,haiku,claude-haiku-4-5,match,match,obverse,0.950,3,19,0,0.036433,3481,,"{""verdict"":""match"",""face"":""obverse"",""confidence"":0.95}"
f6b75cb53460400cbcb3c5d145582158,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.820,3,21,0,0.036493,2778,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.82}"
457ebbf256304ab4b5de408cc50c44a4,haiku,claude-haiku-4-5,no_match,no_match,unknown,0.970,3,20,0,0.036510,2597,,"{""verdict"":""no_match"",""face"":""unknown"",""confidence"":0.97}"
905ccaeffb2f44d581a7aeef4fcb7ef5,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.036463,2534,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
ccb73a67582d4221a2012692ddc88233,haiku,claude-haiku-4-5,match,match,obverse,0.970,3,19,0,0.036468,2777,,"{""verdict"":""match"",""face"":""obverse"",""confidence"":0.97}"
0cba91a9580c46428a98cccb7c3a8872,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.950,3,21,0,0.036474,12804,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.95}"
c819ab28a01e42b599ff634ccaa50e18,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.970,3,21,0,0.036497,2706,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.97}"
64ca43eea0804e04b47bde89b9b3acce,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.036482,2311,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
bed38a9cfb674947b609c1b85dbe841b,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.036487,2817,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
ca57412216d44cd39f0c794cdfc3e07b,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.970,3,21,0,0.036502,4547,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.97}"
4b38df23df6b45cdbf978990d7be054e,haiku,claude-haiku-4-5,match,match,obverse,0.950,3,19,0,0.036444,2960,,"{""verdict"":""match"",""face"":""obverse"",""confidence"":0.95}"
7eaf4777d4eb43ff84a9a995554e9e8f,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.970,3,21,0,0.036473,2935,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.97}"
1d7802c4d1b54679b270897a2a8dcd62,haiku,claude-haiku-4-5,no_match,no_match,unknown,0.850,3,20,0,0.033584,2499,,"{""verdict"":""no_match"",""face"":""unknown"",""confidence"":0.85}"
c3d4c621b6ea405b9c317b6fa8b80068,haiku,claude-haiku-4-5,no_match,no_match,unknown,0.950,3,20,0,0.033476,2332,,"{""verdict"":""no_match"",""face"":""unknown"",""confidence"":0.95}"
bd722d62bef14871b9b03e1563ab2fca,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.970,3,21,0,0.033501,3247,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.97}"
a8bc0fffeb0642b9a919f2fc4badc78f,haiku,claude-haiku-4-5,match,no_match,obverse,0.850,3,21,0,0.033511,4138,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.85}"
c20ecbd875574be582401246c68d79b2,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.033515,2864,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
5f2a8880435d439c911201028a71501e,haiku,claude-haiku-4-5,match,no_match,obverse,0.850,3,21,0,0.033530,2412,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.85}"
b91f7b95cf28456c98cc920e8a9cdff9,haiku,claude-haiku-4-5,match,no_match,obverse,0.950,3,21,0,0.033505,12024,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.95}"
fe8026fa5184458194e9ffd4357fb1cf,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.950,3,21,0,0.033491,2898,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.95}"
3ac8d3abd2784307a901029ab0a171b1,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.033515,2320,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
fecd3e4437384b50816d2c3326070aec,haiku,claude-haiku-4-5,match,match,obverse,0.970,3,19,0,0.033475,3947,,"{""verdict"":""match"",""face"":""obverse"",""confidence"":0.97}"
fbce1a4c60564bd3a4f0dc2f391daebd,haiku,claude-haiku-4-5,match,no_match,obverse,0.850,3,21,0,0.033505,2364,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.85}"
977ff8c08a814ea7b987873a9470ddb6,haiku,claude-haiku-4-5,match,no_match,obverse,0.950,3,21,0,0.032896,7968,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.95}"
bdc47030c9fc49fab3f4b109f2b1bef6,haiku,claude-haiku-4-5,match,no_match,obverse,0.850,3,21,0,0.033601,9874,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.85}"
e6359381b77748db801a8135870fb73f,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.970,3,21,0,0.033601,2999,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.97}"
141e712686254d5d9524cf5ffa58f833,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.033533,2528,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
ad713cbd484e4e95b1f19761703b48b7,haiku,claude-haiku-4-5,match,match,obverse,0.950,3,19,0,0.033528,2650,,"{""verdict"":""match"",""face"":""obverse"",""confidence"":0.95}"
c4d6c7be4b3c465d9baa225f62252124,haiku,claude-haiku-4-5,no_match,no_match,unknown,0.950,3,20,0,0.032889,5295,,"{""verdict"":""no_match"",""face"":""unknown"",""confidence"":0.95}"
9aa0a6ac26e54603926378d785691acf,haiku,claude-haiku-4-5,match,no_match,obverse,0.950,3,21,0,0.033540,12948,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.95}"
66a8c168fa9b4e34b32818d8eef6f374,haiku,claude-haiku-4-5,match,no_match,obverse,0.850,3,21,0,0.033521,2444,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.85}"
21d041094a084ad3ac7f93909e2d212f,haiku,claude-haiku-4-5,match,no_match,obverse,0.150,3,21,0,0.033535,2684,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.15}"
8cfbe66300054c83bd487d9b825a5440,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.033547,2286,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
43bd56094ff34a04a275cb1fab9a681f,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.950,3,21,0,0.033562,7180,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.95}"
d173951651224ebba6cb7f410cded8b2,haiku,claude-haiku-4-5,match,no_match,obverse,0.950,3,21,0,0.033444,2537,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.95}"
a7bbc01520c9496981d0ab6b2321154f,haiku,claude-haiku-4-5,no_match,no_match,reverse,0.950,3,20,0,0.032908,2989,,"{""verdict"":""no_match"",""face"":""reverse"",""confidence"":0.95}"
cdf439e937624b24be2d1c4bd7c96160,haiku,claude-haiku-4-5,no_match,no_match,obverse,0.950,3,21,0,0.033544,2782,,"{""verdict"":""no_match"",""face"":""obverse"",""confidence"":0.95}"
